gene.names	S37	S38	S1	S2
CAGL0A00105g	0	0	0	0
CAGL0A00110g	0	0	0	0
CAGL0A00116g	0	0	0	0
CAGL0A00132g	0	0	0	0
CAGL0A00154g	0	0	0	0
CAGL0A00165g	115	92	53	91
CAGL0A00187g	517	590	138	410
CAGL0A00209g	2785	3064	848	2238
CAGL0A00231g	614	701	189	479
CAGL0A00253g	1118	1237	315	799
CAGL0A00275g	1223	1303	400	938
CAGL0A00297g	352	343	86	254
CAGL0A00319g	382	399	112	260
CAGL0A00341g	79	96	14	42
CAGL0A00363g	2060	2308	741	1816
CAGL0A00385g	95	90	28	112
CAGL0A00407g	1694	1677	470	1240
CAGL0A00429g	2494	2854	912	2161
CAGL0A00451g	686	805	272	615
CAGL0A00473g	974	1199	272	868
CAGL0A00495g	33639	39759	10316	25004
CAGL0A00517g	1093	1086	132	690
CAGL0A00539g	626	669	199	554
CAGL0A00561g	124	155	37	136
CAGL0A00583g	241	279	105	274
CAGL0A00605g	432	511	108	277
CAGL0A00627g	816	1021	286	738
CAGL0A00649g	1	3	0	3
CAGL0A00671r	0	0	0	0
CAGL0A00715g	0	0	0	0
CAGL0A00737g	70	90	4	14
CAGL0A00759s	0	0	0	0
CAGL0A00781g	937	978	166	417
CAGL0A00803g	518	558	170	414
CAGL0A00825g	472	475	149	351
CAGL0A00847g	340	330	142	271
CAGL0A00869g	327	291	100	228
CAGL0A00891g	574	616	171	442
CAGL0A00913g	612	528	176	472
CAGL0A00935g	320	293	115	233
CAGL0A00957g	495	415	125	414
CAGL0A00979g	6659	8100	2973	7204
CAGL0A01001g	615	628	137	500
CAGL0A01023g	753	692	205	489
CAGL0A01045g	4062	4137	521	2330
CAGL0A01067g	1341	1684	515	1249
CAGL0A01089g	138	134	32	67
CAGL0A01111g	2659	2791	307	1860
CAGL0A01133g	707	659	134	477
CAGL0A01155g	302	311	97	257
CAGL0A01177g	90	79	20	79
CAGL0A01193g	269	329	85	290
CAGL0A01199g	1203	1860	379	882
CAGL0A01221g	1505	2664	433	1899
CAGL0A01243g	23861	24367	168	662
CAGL0A01284g	54	60	7	35
CAGL0A01325g	28	27	10	24
CAGL0A01366g	85	114	7	42
CAGL0A01408g	20	24	5	21
CAGL0A01430g	4988	6368	1817	5499
CAGL0A01452g	604	653	175	466
CAGL0A01474g	1106	1362	367	893
CAGL0A01496r	0	0	0	0
CAGL0A01540g	12994	15144	5228	13523
CAGL0A01562g	24392	29219	10451	25122
CAGL0A01584g	19	17	4	13
CAGL0A01606g	213	200	7	22
CAGL0A01628g	1390	1324	177	763
CAGL0A01650g	1232	1435	82	271
CAGL0A01672g	948	1038	280	780
CAGL0A01694g	252	225	46	109
CAGL0A01716g	1508	1239	71	594
CAGL0A01738g	2185	2514	358	1031
CAGL0A01760g	624	548	143	447
CAGL0A01782g	24968	29756	5788	18957
CAGL0A01804g	2429	2433	590	1777
CAGL0A01826g	8	6	1	2
CAGL0A01848g	1452	1502	385	1075
CAGL0A01870g	241	225	37	130
CAGL0A01892g	0	0	0	0
CAGL0A01914g	1181	1420	473	1128
CAGL0A01936r	0	0	0	0
