genesymbol3.20m	S3	S4	S7	S8	S11	S12	S15	S16	S19	S20	S23	S25	S26	S29	S31	S32	S35
CAGL0A01243g	7.437757969	7.30261117	11.77162392	11.82149824	12.09188739	12.30900718	12.48967289	12.49425396	12.45959652	12.52069841	12.52873212	12.57795676	12.61302864	12.92375306	13.11915021	13.04929346	12.95449304
CAGL0G06050g	-1.506960002	-0.977359277	8.572051972	8.198608395	8.54277198	8.341153798	8.822102488	8.760352687	8.546681156	8.798045018	8.995292512	9.167576104	8.922658196	9.515578117	10.00201582	9.703987403	9.733692738
CAGL0B02475g	3.150439404	3.440305638	12.17119387	11.93471765	12.37257527	12.20742228	12.73297072	12.61339289	12.60361886	12.80445218	12.96393619	13.21143973	12.6536087	13.49909775	13.86310842	13.48574597	13.56818285
CAGL0K07546g	1.868996419	2.506277286	10.68386911	10.91745552	11.85560908	12.14737862	12.45575181	12.6341076	12.46115364	12.39609547	12.3157741	12.2798114	12.42667383	12.29091198	12.134104	12.45508982	12.42422509
CAGL0A01650g	5.471326638	5.288891425	8.49944497	8.270704434	9.4713759	9.43315711	9.836486568	9.918760111	9.951017483	9.92608756	10.16320995	10.32441444	10.46005637	10.37529282	10.46227349	10.47924816	10.4236744
CAGL0G06952g	7.072424803	7.168522652	9.266211061	9.234215974	9.752946076	9.699422162	9.841289816	9.83042446	9.918353857	9.875777136	9.86209123	9.828597372	9.836905689	9.814289181	9.818601772	9.696293721	9.70439277
CAGL0L05456g	7.257576048	7.352941305	9.761742166	9.690508437	9.552238602	9.564650629	9.431345229	9.440325585	9.414983275	9.455079184	9.267688267	9.252481453	9.463209733	9.338053959	9.304105025	9.332232391	9.19985461
CAGL0M10351g	5.860917206	5.906997715	8.041430566	7.937098154	8.549000208	8.566743888	8.48619713	8.593419106	8.555038072	8.525387326	8.451815537	8.448091249	8.563200964	8.355171656	8.292783578	8.282224953	8.342572372
CAGL0H09262g	1.187384897	1.012124502	3.543259223	3.45923789	4.385781821	4.359805961	4.420883616	4.330777018	4.446299364	4.275189752	3.837379588	3.690369836	3.639825022	2.926263381	3.410828041	3.453145776	2.874661682
CAGL0G02717g	2.615530003	2.560002849	5.960688565	6.022742916	7.591050762	7.271594935	7.660558103	7.628545979	7.524173541	7.677374931	7.413440259	7.667429098	7.741314271	7.92018252	8.199409131	7.886408626	7.962519101
CAGL0J07040g	6.782773434	6.845164976	9.277979649	9.222144687	9.625329576	9.559771105	9.644660439	9.780205837	9.600820116	9.636956283	9.492517953	9.383197954	9.61644018	9.612199301	9.756487461	9.668150215	9.647151373
CAGL0J02552g	0.538202946	0.454362654	4.940693719	4.813478628	6.003943064	5.850311257	6.263233416	6.149427233	6.446082888	6.382496539	6.254092301	6.487275067	6.749715156	6.992977781	7.457898678	6.884257658	6.81378307
CAGL0L04378g	3.606464948	3.468674706	7.297911119	7.298374162	8.552386124	8.490845881	9.24817278	9.253637844	9.531789421	9.49156752	9.588001923	9.682235646	9.638899093	9.69847626	10.06222245	9.493572111	9.426054358
CAGL0C02321g	5.129762684	5.207063727	7.840933353	7.765708465	8.596788384	8.686781248	8.872245266	9.045949306	9.051409804	9.047020195	9.18265339	9.215774355	9.163731762	9.259510901	9.458927071	9.159242959	9.208896472
CAGL0H08844g	5.196217709	5.190126133	8.030134671	7.989983783	9.598011257	9.598352862	10.23049246	10.12610088	10.21635338	10.1565432	10.09649782	10.15904564	10.10923723	10.15668323	10.55150405	10.14754434	10.11696782
CAGL0E06072g	4.482723477	4.267704685	6.586308344	6.593972478	7.395034514	7.527595872	7.565067573	7.724335502	7.63080251	7.613792666	7.215019654	7.0779747	7.159325811	7.095433046	7.255629995	7.207046525	7.331919767
CAGL0G04829g	4.618161534	4.697375617	6.717574581	6.654406507	7.481644896	7.54745069	7.715656481	7.742306756	7.728613188	7.73937674	7.714771542	7.597814384	7.734378337	7.667050634	7.841337673	7.639604527	7.465342017
CAGL0B03201g	4.272934766	4.346254212	6.457308649	6.301779221	7.042138929	7.040809152	6.802455723	6.77154784	6.566706804	6.506974333	5.932029326	5.482341149	5.480442942	5.245897404	5.370553134	5.134863227	4.78663007
CAGL0D00990g	3.900235849	3.881208799	6.654771793	6.455260586	7.620383157	7.841384161	7.926216497	8.164175218	8.39294057	8.262924869	8.341382193	8.459125897	8.456458823	8.351907174	8.438147207	8.660909516	8.241756385
CAGL0L05258g	2.959575256	3.120926197	5.95200835	5.826594121	6.133172355	6.457200455	6.71094415	6.868826482	6.708306244	6.873589078	6.976469233	6.904312562	6.940879563	7.130148195	7.520844891	7.283243526	6.781822905
CAGL0E01881g	5.118383028	5.111345441	7.632656926	7.72401836	8.827160275	8.95404161	9.326197432	9.216755135	9.230601697	9.304735056	9.387997705	9.526842786	9.442839906	9.782310689	10.20335418	9.808522013	9.750073908
CAGL0J02508g	3.818209991	3.677535173	7.663556371	7.584551684	8.706218625	8.514575506	8.913879878	8.846470559	8.87440517	9.108542023	8.953303577	9.271385191	9.080423832	9.872023109	10.26850903	9.623046509	9.478505771
CAGL0C05027g	2.071398614	1.726954186	5.189898564	5.149692753	7.626821264	7.662376647	8.239285528	8.158330836	8.421558106	8.398370453	8.433034895	8.276919635	8.135813227	8.468028565	8.970602778	8.476151277	8.297447013
CAGL0G01540g	5.934139449	5.280914374	9.795188312	9.765326699	10.10234766	9.802710447	9.814671831	9.75912209	9.668239687	9.990318321	9.592338648	9.994620508	10.11916054	10.24585431	10.60312873	10.30041105	10.34109853
CAGL0M11660g	4.869625061	4.150014045	9.319484621	9.774594286	9.052310668	9.291216012	9.529347395	9.804999359	9.994678808	10.30352846	10.27239747	10.71837285	10.78450416	10.71798251	10.61817629	10.9978419	11.01540209
CAGL0A01606g	1.868996419	1.629806528	4.326528672	4.548201324	5.205275556	5.308289729	5.501566305	5.380603722	5.315836826	5.67438759	5.673829063	5.752158034	5.868553985	5.71091734	5.645246143	5.537306444	5.585080082
CAGL0B02926g	-0.148789152	-1.774274078	7.363201745	7.623944519	9.103987482	8.994622294	8.992989867	8.967908192	8.557535737	8.992511884	7.697308185	8.006275027	8.480344814	8.743521198	9.655752298	9.061010094	9.417701839
CAGL0E06380g	3.846073355	3.943175433	6.85195283	6.650172748	8.290424909	8.507835346	8.614255666	8.703007522	8.544164612	8.567637656	8.52623417	8.224300455	8.229696793	8.085232045	8.409601835	7.918334899	7.739408499
CAGL0G05269g	0.235218345	0.20740583	3.796974777	3.707613112	6.954427537	7.120732098	8.72927934	8.602056312	8.939047786	8.840327196	9.337693369	9.44357395	9.177860568	9.298469242	10.0106677	9.352585806	9.389407422
CAGL0D05082g	5.724969101	5.461151417	8.429257094	8.139428394	9.644492959	9.581118638	9.669630593	9.593894443	9.612477985	9.548094737	9.575709637	9.339933612	9.419092053	9.076812513	9.46042648	9.098776775	9.195480826
CAGL0A04257g	7.879848258	7.912082962	5.009238712	5.381888729	4.167640354	3.946565534	4.138214334	4.071214796	4.474768892	4.510623277	4.84939893	5.662258158	5.605174667	5.747815002	5.818270313	6.173884316	6.196465963
CAGL0H03289g	4.842217181	4.585246992	6.974874134	6.947935148	7.419962406	7.581231384	7.370569143	7.505040987	7.275826728	7.103582483	6.921126893	6.550547982	6.561002283	6.326557369	6.503274216	6.24637768	6.163772671
CAGL0H02893g	4.922926543	4.845350114	7.117546881	7.11392257	8.063239645	8.17240851	8.368017139	8.491515196	8.37322687	8.406037078	8.411777566	8.249942516	8.473815492	8.234505095	8.418445335	8.074297723	8.021490067
CAGL0M12705g	6.720162476	6.688150904	8.797737251	8.652523731	9.058277119	9.313418048	9.134718673	9.130257645	9.003362639	9.010453968	9.042735279	9.057271177	9.135616318	9.02104109	9.325890066	9.077917456	8.914378112
CAGL0H02387g	4.869625061	4.449499383	8.562817151	8.396090513	9.940784715	9.723475212	10.56600727	10.4061284	10.40799857	10.3400055	10.27448437	10.06105246	9.92145393	10.12961505	10.59992538	9.930950455	9.691070866
CAGL0J10494g	4.166460217	4.18463091	6.627775022	6.450399095	7.048547191	7.196458887	7.046591828	7.236856263	7.111037947	7.307866958	7.110048473	7.551430841	7.634666969	7.511894034	7.722828515	7.385556539	7.694337064
CAGL0E01859g	3.318977716	2.802177601	5.838854955	5.989615669	7.012944198	7.111869767	7.178968628	7.241602165	7.043745977	7.110424211	6.934852344	6.967499715	6.69870462	6.960480805	7.1363425	6.983847328	6.912199048
CAGL0H02717g	1.75604387	1.817970829	3.816233849	4.027844635	5.035008816	5.164847067	4.782304135	4.987323943	4.790047315	4.657995377	4.151358564	4.265302716	3.998529971	3.907145716	4.106162408	4.143863184	3.739787429
CAGL0F05709g	6.828883552	6.81509955	2.842978518	3.37964289	1.187101073	1.487560766	1.076872476	1.260735014	1.914500756	1.876726746	2.169937808	2.493460572	3.050815638	3.240574783	2.802522844	2.910318084	3.463563422
CAGL0F04499g	7.311036139	7.131295746	4.868728873	4.828544489	4.082768168	4.195037619	4.219169727	4.354338783	4.684310999	4.531164632	4.615301626	5.3865098	5.333444362	5.123612654	4.641427072	5.062573779	5.314255363
CAGL0L10186g	4.842217181	4.477689989	7.664884928	7.333122826	8.056896457	8.101654739	7.906490703	8.025209765	7.80487622	7.975969525	7.936881971	8.073467341	8.351581223	8.115064675	8.271953463	8.012482058	7.973564854
CAGL0G02849g	3.237168281	3.289435836	6.206739863	6.002957986	8.072702439	8.128266112	8.686323217	8.823968576	8.706011419	8.753393788	8.689700714	8.394081633	8.483893847	8.517430227	9.02980027	8.430806376	8.003896573
CAGL0H00704g	5.860917206	6.338325878	8.703271197	8.726775095	9.132922122	9.403687295	9.166324009	9.253246229	9.507020441	9.39225339	9.60955635	9.670754539	9.637439218	9.755795896	9.969439675	9.76623818	9.743405463
CAGL0M07227g	7.952139473	7.913373553	5.700603081	5.725589133	4.464570787	4.359805961	4.685907054	4.861425446	5.331488386	5.378165221	5.823529948	6.01826455	6.259384962	5.97416556	5.672116397	6.051608622	6.422870161
CAGL0I10670g	6.958980475	7.108940277	4.366270833	4.529883488	2.770611853	2.712437093	2.684574523	2.671813856	3.16728791	3.374812036	3.837379588	4.608906173	4.497040654	4.445405123	4.412710185	4.933408431	5.112045916
CAGL0G01991g	8.134072426	8.198097758	5.925649882	6.142114573	4.885530327	4.690212183	4.671594792	4.330777018	5.234925944	5.272326693	5.723558995	6.005417703	6.097384242	6.427183243	6.292400286	6.451364274	6.481527987
CAGL0D01254g	-3.703235086	-3.703235086	0.469200197	-0.055409318	1.091035853	1.487560766	1.644225546	1.157371153	1.737840677	1.81104805	2.20331262	1.893722255	2.208396021	2.135593009	1.860457011	2.30512012	1.493374639
CAGL0H02101g	3.573509548	3.120926197	6.762945216	6.756403309	9.701264367	9.97216267	10.26068619	10.21022006	10.07909624	9.874270528	9.877356734	9.7262893	9.772223591	9.679937416	10.21393301	9.576757437	9.286555256
CAGL0I10010g	2.615530003	1.726954186	6.717574581	6.405892373	3.882114469	3.64620897	2.794329071	2.780165951	1.914500756	1.593906943	1.990396071	1.359926491	1.623975075	1.715448749	1.427789703	1.056679154	1.561889396
CAGL0F00605g	7.393598386	7.538349578	10.15847195	10.24784812	11.99323966	12.01448338	12.28990182	12.17119099	11.94068521	11.75828321	11.49787681	11.19880511	11.11996632	10.96953189	11.53900187	10.93152808	10.42165938
CAGL0K09614g	8.954317945	8.947565808	6.423172254	6.662836933	4.955400224	4.611918782	5.264674707	5.177646898	5.897245238	6.06794697	6.718187753	7.132164852	7.025298779	7.381357151	6.967051796	7.31600259	7.422224536
CAGL0K10824g	2.248867124	1.984401135	4.692345507	4.751590793	6.406958184	6.462787427	7.054886345	7.138504392	7.149073315	7.170582135	7.322392865	7.482028173	7.415556627	7.737122101	8.113796565	7.538850894	7.668351578
CAGL0E01727g	9.586171368	10.19304067	4.940693719	5.340447014	5.432965177	5.828839014	4.909718535	5.110049413	4.402513141	4.200208044	4.134155669	4.236273912	4.741972142	4.395543858	4.735014414	5.492153145	4.659511055
CAGL0I04554g	6.757320664	6.712078919	8.78557491	8.800259923	8.994571148	8.999915798	9.193500136	9.345046295	9.319127397	9.566248108	9.355430511	9.671093526	10.04961748	9.96345054	10.09085595	10.22720757	10.17912009
CAGL0K01551g	8.215099334	8.251118908	5.576207531	5.906861777	3.219943293	3.015858789	2.896320998	2.848128546	3.33195709	3.154198103	3.760987681	4.597537434	4.501716424	5.061018095	4.757492498	5.203702636	5.353440059
CAGL0G09977g	6.614775	6.548944222	9.121310201	9.076723114	10.5675851	10.53189563	10.76344118	10.75408454	10.57077166	10.55790875	10.47823841	10.22147899	10.26474945	10.48391414	10.9291867	10.30057475	10.11465326
CAGL0M12881g	10.04001435	9.720400268	6.384987581	6.825617947	5.813897498	6.052806439	6.404072796	6.373519821	7.046119404	6.832801719	7.49655937	7.978058355	8.011821287	7.934802412	7.363057321	7.937830657	8.210084663
CAGL0I07865g	4.144188779	3.381837038	7.224127839	6.944481741	8.54277198	8.513229991	9.289178041	9.357488246	9.458843703	9.548409669	9.879616563	9.933483741	9.942564466	10.09423585	10.17727927	9.814495403	9.727414136
CAGL0A01782g	10.83906125	11.04025734	8.509832598	8.872001446	9.027384171	9.240890613	9.206588427	8.992048627	9.393241967	9.129322125	9.534303603	9.464846046	9.385964877	9.307485019	9.247662109	9.157074871	9.031128427
CAGL0H08305g	6.27888946	5.972849521	8.469347148	8.094952156	8.348060267	8.160424861	8.22954826	8.244392253	8.172776858	8.342079554	8.274261952	8.346485687	8.411199342	8.41895644	8.01987874	8.148928677	8.016158202
CAGL0L04268g	5.655809424	5.640181206	7.823193782	7.514080274	8.695539568	8.575795309	8.856514932	8.922819748	8.664132823	8.710134148	8.173664764	7.81951363	7.755576355	7.731271485	8.149291199	7.759730083	7.219765867
CAGL0L04598g	5.48910728	5.482176593	8.342254009	8.316841604	9.789033356	9.86495458	10.47441726	10.42119774	10.51681797	10.55493379	10.39684556	10.12332143	9.913251525	10.19635644	10.66072355	9.919271292	9.531254441
CAGL0L03846g	9.021531084	9.153272695	4.992405354	5.616976705	3.051503463	3.501716491	3.61740171	3.503660311	4.556954282	4.561438477	5.51344457	6.026765998	6.08808697	6.098841634	5.458930439	6.16240095	6.457001651
