genes	logFC.wtvswt.20min	logFC.wtvswt.30min	logFC.wtvswt.45min	logFC.wtvswt.60min	logFC.wtvswt.90min	logFC.wtvswt.120min	logFC.wtvswt.150min	logFC.wtvswt.180min	logFC.wtvswt.240min	logCPM	F	PValue	FDR
CAGL0G08734g	-1.11998928232715	-2.39775728597568	-4.13197129330462	-5.01632200662988	-5.49302426362895	-5.48764466971144	-4.8534844512564	-4.86319019790429	-4.47463493933806	6.99923916014841	578.631057199468	8.20238479790641e-14	4.29394844170401e-10
CAGL0G02563g	0.88555117793789	3.51333298282267	5.84239685098192	6.50413557215779	7.43549934087171	7.98347636011535	7.95797630380467	7.70921053042992	7.88377475625983	5.49319149635775	480.943948316244	2.34254632902617e-13	6.13161501622601e-10
CAGL0M06303g	-1.18453765850406	-2.83397358443567	-4.34426742241516	-4.00902479795203	-3.65994240754888	-3.24393546812745	-3.16729401786619	-3.30478281080999	-2.98475573729697	8.15727768055612	348.786484306439	1.44781290640764e-12	1.81521801421005e-09
CAGL0F05071g	1.50580341629387	2.68319811414711	3.50868367556499	3.7914075186889	3.9412010138609	4.02357916600869	4.01931639880854	4.08471700675068	3.92150481274334	7.41788404443587	347.910137136008	1.46859219693049e-12	1.81521801421005e-09
CAGL0H07469g	0.11765719977571	1.50418013661573	3.69904558169613	4.90382826572782	6.71201896583969	7.41392590039182	7.48472986766413	7.50407100892116	8.05239701558568	6.15817956261098	337.863137740533	1.73373258281762e-12	1.81521801421005e-09
CAGL0F08261g	1.28991866245663	4.26491834839247	6.9005111195571	7.24480545003209	7.43651456783062	7.31157554970391	7.13476018712456	6.74380563356579	6.48458207318595	8.57844895540246	301.797915642975	3.2850276050386e-12	2.58359849577039e-09
CAGL0K04587g	-1.44363581341908	-2.09982016208393	-4.17785726772667	-4.98695465869733	-4.74974896808799	-4.25651289819797	-4.16173026110198	-4.2976713841775	-3.44354695392816	6.56823187726478	298.623728177971	3.48760035261719e-12	2.58359849577039e-09
CAGL0D02090g	-1.57216122174189	-3.21993814834744	-5.05673044794215	-5.28074163546834	-4.84633786249202	-4.64626778310392	-4.39592173908608	-4.28587208362824	-4.21488914563328	9.37416614689657	292.149004762531	3.94819254367967e-12	2.58359849577039e-09
CAGL0L13156g	-2.79662887050194	-5.464443936334	-5.8766397250756	-5.71520518675978	-6.22537474242184	-5.37479932189145	-4.78409488680369	-4.72836954181212	-4.27244070730802	4.30766628404939	277.8047730572	5.24925335435278e-12	2.82226328315978e-09
CAGL0K11275g	1.22382056595162	2.36292460041995	3.09139064913376	3.27104158872376	3.56621283987932	3.64854086660646	3.58585767932295	3.63436561002689	3.36387422287641	7.57161124214145	274.529165435968	5.61350668786139e-12	2.82226328315978e-09
CAGL0K00671g	-1.92909497850168	-4.15512793425047	-6.35643075576308	-7.18006876603153	-6.85260167188611	-5.67309904966845	-5.9247958707477	-5.84850220933984	-4.77808207459423	5.15252661280638	268.306926785356	6.3906453395357e-12	2.82226328315978e-09
CAGL0K01551g	-2.49404402160571	-5.11646523636335	-5.37570611327763	-5.00410734821024	-4.47824145912822	-3.69327903483299	-3.17456115027658	-3.24661931787285	-2.88168191113604	5.75866400463913	267.726649956111	6.46937142271583e-12	2.82226328315978e-09
CAGL0B03927g	-0.650454654919279	-1.72214853522893	-2.42517289930529	-2.62932254795485	-2.81692516945189	-2.67810534890867	-2.49915273539012	-2.57934692061575	-2.37142399726267	6.45957153635471	263.818056901875	7.03038980765877e-12	2.83108389562259e-09
CAGL0M12408g	-1.31849475126451	-3.08307370866754	-5.9559205731969	-6.39048479251423	-6.23440168694364	-5.5384774704967	-5.33732743688099	-5.79959614574718	-4.37482392983461	8.96957236707122	259.761021823504	7.67422699129908e-12	2.86961273567505e-09
CAGL0L11066g	-0.0460753632742672	-0.462136117901825	-1.03091677844354	-1.19666045960671	-1.84519856881571	-1.80874207606317	-2.07832815496268	-1.9918595586654	-1.69177126746952	6.87145116816939	232.777338950276	1.42636350522129e-11	4.97800863322229e-09
