genes	del4.20min	del4.30min	average.d4	wt.20min	wt.30min	average.wt	minus
CAGL0C04191g	1.60897466775508	2.85371426019833	2.23134446397671	1.3619006943359	2.85896340232508	2.11043204833049	0.120912415646213
CAGL0D05082g	2.79558709330303	3.90418521604474	3.34988615467388	2.64363336916931	3.92581868838185	3.28472602877558	0.0651601258983066
CAGL0E05148g	1.99647825742887	3.40806805456175	2.70227315599531	1.71042566370905	3.25721912680733	2.48382239525819	0.218450760737119
CAGL0I07865g	3.4983222903189	4.63438605771405	4.06635417401648	3.32540081174724	4.69810486097008	4.01175283635866	0.0546013376578198
CAGL0G05544g	2.46263721315999	4.6164449795794	3.5395410963697	2.04648576567155	4.87534205247555	3.46091390907355	0.0786271872961488
CAGL0I05896g	1.90526877426339	2.65100871201026	2.27813874313683	1.55482646229311	2.52477013655952	2.03979829942632	0.238340443710512
CAGL0F07777g	2.6792521223672	4.74021115640799	3.70973163938759	1.89810135305749	4.48733644831186	3.19271890068467	0.517012738702921
CAGL0L02827g	2.02927852071381	3.23774395926651	2.63351123999016	1.60921247052971	2.7785319673941	2.1938722189619	0.439639021028261
CAGL0L02717g	1.45709128395001	2.47920094440573	1.96814611417787	1.31415149803988	2.49960100420713	1.9068762511235	0.061269863054366
CAGL0C02321g	2.79577101788769	3.16023383619656	2.97800242704213	2.58098088775498	3.3622576076275	2.97161924769124	0.00638317935088883
CAGL0L00957g	2.08809897135178	3.26487554750693	2.67648725942936	1.72449697662053	3.00684112328761	2.36566904995407	0.310818209475284
CAGL0L10582g	1.85379386733297	3.08080833575542	2.46730110154419	1.54529945343194	3.04954201415249	2.29742073379221	0.16988036775198
CAGL0G09020g	2.49346022528883	3.27135369322369	2.88240695925626	2.28132718142762	3.44028055967402	2.86080387055082	0.021603088705441
CAGL0M04675g	1.89497156116401	3.1651410372255	2.53005629919476	1.66236107909776	3.09590732408748	2.37913420159262	0.150922097602135
CAGL0G05335g	2.00500802696365	2.93912626415385	2.47206714555875	1.46448160155946	2.80687866924075	2.13568013540011	0.336387010158647
CAGL0H08888g	2.10038423563651	3.09273965598474	2.59656194581063	1.82794653640493	3.30528361024601	2.56661507332547	0.0299468724851604
CAGL0K10164g	4.97846170287449	6.81729012219332	5.8978759125339	4.48901229013712	6.7964650639343	5.64273867703571	0.255137235498193
CAGL0B02563g	1.71326996389262	3.46313858188371	2.58820427288816	1.58351323151653	3.31049085714812	2.44700204433233	0.141202228555838
CAGL0J04884g	1.90168595630388	3.39834807517322	2.65001701573855	1.204754252854	3.39750556397939	2.3011299084167	0.348887107321855
CAGL0A00341g	1.62934507112169	2.91072908699989	2.27003707906079	1.36065351053757	2.93278555069584	2.14671953061671	0.123317548444085
CAGL0J01331g	1.88215493733091	3.08859158860226	2.48537326296659	1.71356645679827	2.93316403912774	2.32336524796301	0.162008015003579
CAGL0E01837g	1.43174706161034	3.2821157696837	2.35693141564702	1.13912554549007	3.07253319012417	2.10582936780712	0.251102047839901
CAGL0J10494g	2.30660811659667	2.9687971285589	2.63770262257778	2.32752392388732	2.83652394624637	2.58202393506685	0.0556786875109343
CAGL0L03938g	1.62536573998135	2.53884661534428	2.08210617766282	1.31563328819457	2.55007742862548	1.93285535841002	0.149250819252793
CAGL0H07601g	1.20202647214118	2.86114141361857	2.03158394287988	1.17098817130081	2.48425501550515	1.82762159340298	0.2039623494769
CAGL0L05720g	1.44261134091812	2.6490155480314	2.04581344447476	1.37589515088726	2.71354677177464	2.04472096133095	0.0010924831438115
CAGL0F04895g	2.53207950447676	4.40922279798447	3.47065115123062	2.15015736941228	4.41014444508025	3.28015090724627	0.19050024398435
CAGL0K03421g	2.90955884740499	5.26988940115168	4.08972412427833	2.51207707242988	4.85408088456894	3.68307897849941	0.406645145778921
