genes	del4.20min	del4.30min	average.d4	wt.20min	wt.30min	average.wt	minus
CAGL0E02651g	2.43615855927709	3.48500632030894	2.96058243979302	1.50472104231451	2.86148854957748	2.183104795946	0.777477643847019
CAGL0F08261g	2.91287400361382	6.21273808636045	4.56280604498713	1.21047362138668	4.09927758748591	2.6548756044363	1.90793044055084
CAGL0L05434g	2.66185369538979	3.76170537782705	3.21177953660842	2.10091018633491	2.70575514775136	2.40333266704314	0.808446869565285
CAGL0J04004g	2.6918233841406	5.03371082854011	3.86276710634036	1.74361723809773	4.4517626122976	3.09768992519767	0.76507718114269
CAGL0A02145g	1.6555467389093	3.94784631741385	2.80169652816158	1.22291246943328	2.66568401271643	1.94429824107486	0.857398287086719
CAGL0H02101g	4.65915072503186	6.76009990056379	5.70962531279782	3.38715466414877	6.40680365375464	4.89697915895171	0.812646153846117
CAGL0G02563g	1.06610516407983	5.22324693564828	3.14467604986405	0.692533945310069	3.10762036451941	1.90007715491474	1.24459889494931
CAGL0B01925g	2.54322231478673	3.47169429205104	3.00745830341888	1.60943810500296	2.95686967553338	2.28315389026817	0.724304413150715
CAGL0H02563g	2.91409551675513	3.47768370921433	3.19588961298473	1.48933603572459	2.39892471647498	1.94413037609978	1.25175923688495
CAGL0D04026g	2.47689192281183	4.60859538704445	3.54274365492814	1.26087341302562	3.25720807924335	2.25904074613448	1.28370290879365
CAGL0J11550g	3.17230801956014	5.86808656996548	4.52019729476281	1.50824786749339	4.26868477336719	2.88846632043029	1.63173097433252
CAGL0F04719g	2.45457868237345	4.39931457623958	3.42694662930651	1.37763034831039	3.93612671317072	2.65687853074056	0.770068098565958
CAGL0A02002g	4.02065487727276	6.67947320919526	5.35006404323401	1.65557356566189	5.16905969049601	3.41231662807895	1.93774741515506
CAGL0L02761g	3.96353575765916	7.72371421823154	5.84362498794535	2.18611243963175	3.66891026018342	2.92751134990758	2.91611363803777
CAGL0B01078g	3.35405178758131	5.28425259284768	4.3191521902145	1.34439522550605	4.25050163165305	2.79744842857955	1.52170376163495
CAGL0L05786g	3.74311366958475	4.52579126755833	4.13445246857154	2.08947809971531	2.47108353315956	2.28028081643744	1.8541716521341
CAGL0D00198g	3.15219195096933	4.42780274284269	3.78999734690601	1.92595425609189	3.95032308330569	2.93813866969879	0.851858677207216
CAGL0L06094g	3.38846401327714	4.79094889058748	4.08970645193231	1.87022240563924	3.79173047768154	2.83097644166039	1.25873001027192
CAGL0J03080g	4.99778072813287	7.79927168750678	6.39852620781983	1.48282279121073	6.23094848917336	3.85688564019205	2.54164056762778
CAGL0I05610g	3.53561417078756	4.35308051852387	3.94434734465571	1.60187212398651	3.76574919763072	2.68381066080861	1.2605366838471
CAGL0M11902g	3.65008365191171	5.78748951390232	4.71878658290701	1.41992569421941	4.59849818941579	3.0092119418176	1.70957464108941
CAGL0M12551g	5.19722443359501	7.02284332110797	6.11003387735149	3.53962570416635	5.81650813933269	4.67806692174952	1.43196695560197
