genesymbol3	logFC	AveExpr	t	P.Value	adj.P.Val	B
CAGL0B02926g	-7.22300577161515	3.99964644643418	-170.402476551676	1.06691184238953e-06	0.00564483862569677	4.17560421950456
CAGL0M03305g	-5.16585573520783	-1.13330517046889	-135.655039097783	2.01781541579867e-06	0.00564483862569677	4.1193236997108
CAGL0M11660g	-4.61289986612105	8.26083883705553	-94.6302969482323	5.51950217312194e-06	0.0102938715528724	3.96598596497145
CAGL0K07546g	-9.28096061893385	7.17994882082737	-84.7817202029405	7.50317184210895e-06	0.0104950616141499	3.89674761280209
CAGL0D05104g	-2.82282686650048	-2.30481960482256	-58.6719654153688	2.09808470434676e-05	0.0228611164154177	3.55477467316509
CAGL0F00209g	-2.47422624729465	-2.47911991442547	-52.5099987123812	2.86019329594144e-05	0.0228611164154177	3.41122686795237
CAGL0M03421g	-2.47422624729465	-2.47911991442547	-52.5099987123812	2.86019329594144e-05	0.0228611164154177	3.41122686795237
CAGL0I07546r	2.7503236455794	-2.3410712152831	45.2445997753889	4.33480728736708e-05	0.0285631953159164	3.18445494210039
CAGL0D06666g	-2.01360347778699	-2.7094312991793	-44.3109485885159	4.59461586851201e-05	0.0285631953159164	3.14945666255937
CAGL0K00308r	4.0140834279983	-1.70919132407365	41.8325280142216	5.39539193738734e-05	0.0301872178896821	3.04862859254034
CAGL0I10010g	-2.79230611310985	2.69663421346395	-38.2528668684552	6.92539444214698e-05	0.0352250744580112	2.87955355254343
CAGL0H09262g	-1.57867691228599	2.17736627902613	-34.0972968612503	9.54514794886114e-05	0.0376534036276793	2.64016671364247
CAGL0L00583g	-1.20283504922416	5.46119133128901	-32.1980914178613	0.00011199548548393	0.0376534036276793	2.51177825941849
CAGL0G03949g	-1.33288469094985	-3.04979069259787	-31.6818641916644	0.000117158738675198	0.0376534036276793	2.47450088815536
CAGL0G09647g	-1.33288469094985	-3.04979069259787	-31.6818641916644	0.000117158738675198	0.0376534036276793	2.47450088815536
CAGL0H01903r	-1.33288469094985	-3.04979069259787	-31.6818641916644	0.000117158738675198	0.0376534036276793	2.47450088815536
CAGL0L05192g	-1.33288469094985	-3.04979069259787	-31.6818641916644	0.000117158738675198	0.0376534036276793	2.47450088815536
CAGL0M02871g	-1.15114263724457	7.80061086833578	-31.3047273391156	0.00012113695537055	0.0376534036276793	2.4465818141033
