genesymbol	S3	S4	S7	S8	S11	S12	S15	S16	S19	S20	S23	S25	S26	S29	S31	S32	S35
DIP5	7.090008888	7.056168772	5.082648824	4.735694934	4.313124999	4.140305985	3.984596194	3.439015915	3.664098585	3.32861949	3.543683677	3.407511104	3.390381258	3.703652558	4.81220163	3.562030086	3.971527709
GIT1	7.437757969	7.30261117	11.77162392	11.82149824	12.09188739	12.30900718	12.48967289	12.49425396	12.45959652	12.52069841	12.52873212	12.57795676	12.61302864	12.92375306	13.11915021	13.04929346	12.95449304
EPA10	2.678874332	2.846090428	4.140413802	4.199914384	4.678003465	4.395298289	4.945847361	4.901961586	5.039130907	5.361055919	5.431320668	5.54878064	5.815083808	5.999421388	6.345298241	6.026492333	6.118996226
EPA9	3.105038052	2.802177601	4.802673265	4.22290233	5.098150061	5.080145282	5.704990932	5.453323361	5.753604286	5.617890813	5.526688629	5.634714549	5.73395219	6.116903864	6.40880465	5.934973274	6.040134523
EFT2	12.17711097	12.14371732	11.10338794	11.1868151	10.40276707	10.27613321	9.613178526	9.482701383	9.457061142	9.4089988	9.627339636	10.20915991	10.28268935	10.46212798	9.772268548	10.53109286	10.84350208
AWP8	-3.703235086	-3.703235086	-3.703235086	-1.426793893	-1.433893573	-2.016046099	-3.703235086	-3.703235086	-3.703235086	-3.703235086	-3.703235086	-3.703235086	-3.703235086	-1.62823859	-3.703235086	-3.703235086	-3.703235086
AUT4	5.663659602	5.942829413	6.532012754	6.493573787	7.292129446	7.184674165	7.622000816	7.718673263	7.680536602	7.696825189	7.80653647	7.512614304	7.602379096	7.610804089	7.830776818	7.479935765	7.37063395
HBN1	4.785788098	5.543473887	6.15473331	6.009583156	7.022741565	7.411057617	6.792569746	7.342246823	6.845440958	6.911297341	6.463134295	5.874951652	6.444408989	5.327936796	4.488573922	5.728541354	4.659511055
SAM1	11.04841861	11.0001273	9.269271406	9.519440123	6.880922895	6.520180303	5.155779342	4.306824049	4.755655795	4.520930513	4.762505519	4.653505883	4.050513521	4.540237821	4.547807694	4.072034675	5.100575899
EMG1	7.260167193	7.240212992	5.066655234	4.872820479	3.242477615	2.674419606	3.244573167	3.32438951	3.736425151	4.299341954	5.013615222	5.530962093	4.497040654	5.985444991	5.744232364	5.948408271	6.17475296
NOP8	6.910321541	6.900878901	4.628409885	4.915778012	2.770611853	2.553959187	3.3199226	2.944422214	3.507565127	3.699148704	4.478869511	4.994194106	4.822666347	5.183603964	4.567023895	5.163946523	5.189879858
INO2	8.692767506	8.848496012	8.308650865	8.324832476	7.618230722	7.390685377	7.063133447	7.24318067	6.769912403	6.836932739	5.752030661	5.948386903	5.755645857	6.083177674	6.21126576	5.997703786	6.691052855
PHO84	3.150439404	3.440305638	12.17119387	11.93471765	12.37257527	12.20742228	12.73297072	12.61339289	12.60361886	12.80445218	12.96393619	13.21143973	12.6536087	13.49909775	13.86310842	13.48574597	13.56818285
GIN3	6.258299705	6.456356447	8.165817829	7.854866988	9.912738774	9.665301927	11.03396688	10.80159353	10.96811634	10.98631747	11.19052896	11.11681587	10.47477136	11.40318353	11.93575667	11.03018589	10.89337699
HEM1	8.14392714	8.08582532	7.182064366	7.287511672	6.19513514	6.370690744	6.074878549	6.098014889	6.38739189	6.267836276	6.825233963	7.322000001	7.332039122	7.609893367	7.125581966	7.63856888	7.928865173
BMT2	0.538202946	0.20740583	3.96169651	3.674643395	5.894368055	5.678493674	6.263233416	5.892081092	6.330112353	6.071457437	6.34100128	6.194617094	5.984998929	6.339800843	6.794371704	5.941706411	6.090288395
BMT6	-0.673624826	0.454362654	1.525419856	0.330562733	2.498390478	2.11712667	2.366947183	2.382002236	2.857115872	2.316120418	2.329588401	2.493460572	2.440408421	2.61379995	3.596838229	2.82548996	2.927551678
BMT3	-0.148789152	-1.774274078	7.363201745	7.623944519	9.103987482	8.994622294	8.992989867	8.967908192	8.557535737	8.992511884	7.697308185	8.006275027	8.480344814	8.743521198	9.655752298	9.061010094	9.417701839
BMT4	2.330034088	2.661800419	3.835239207	3.45923789	4.627531913	4.418483851	4.55167843	4.658718285	4.672069489	4.639194076	4.430366099	4.250861325	4.369825908	3.883224318	4.354917913	3.983448682	4.008821362
BMT5	4.665842983	3.881208799	7.215087358	6.971880271	7.989385771	7.725321576	7.588111176	7.397160232	7.655883856	7.422259753	7.071031109	6.602657312	6.53386716	6.627659704	7.050201319	6.903354143	7.00893696
TEF3	12.78031691	12.76970897	11.73754153	11.95545404	10.66958649	10.7849166	10.22223064	10.34753165	10.96231599	10.90158685	11.49866465	12.05786717	12.08153859	12.2010936	11.10901498	12.26168577	12.60144196
AWP7	-0.148789152	-1.774274078	0.260081588	-1.426793893	-0.952297307	-0.765728898	0.12844673	1.76137381	1.995329711	1.338192413	2.500423313	3.151754164	3.274943828	3.498508962	3.716399919	4.034733261	4.365760849
HSP31	5.85407261	6.47045377	8.271632616	8.12881762	9.506130505	9.767874176	10.46147659	10.54634416	10.63288162	10.37131697	10.64436264	10.55789662	10.51174854	10.44729147	10.62344432	10.34156437	10.17604964
SAH1	11.03334974	10.97701517	10.21828579	10.22525734	9.688241775	9.62164066	9.119641312	9.030492345	9.129587855	8.963048728	8.230921488	8.355793971	8.091913068	8.572693996	8.625470086	8.57636174	8.678242378
UTR2	8.166202586	8.0392961	7.335104275	7.092239614	6.39443522	6.190495041	6.850894295	6.518743168	6.898944296	6.924945116	6.103134811	5.542865544	4.71806265	5.467202457	5.913927752	5.708941162	4.705666301
KRE29	5.37897983	5.39617243	2.684328842	3.45923789	1.442005142	1.487560766	2.050377066	2.382002236	3.16728791	2.451600551	4.026394219	4.539309786	4.252662859	4.664734251	4.598492827	4.625827361	5.157035259
PHM8	5.129762684	5.207063727	7.840933353	7.765708465	8.596788384	8.686781248	8.872245266	9.045949306	9.051409804	9.047020195	9.18265339	9.215774355	9.163731762	9.259510901	9.458927071	9.159242959	9.208896472
TIR3	2.678874332	2.133602364	3.115925733	2.073589857	2.972825005	2.327725627	3.888863344	3.416807668	4.032954425	3.993697459	4.790226094	4.769489043	4.075819354	5.20305923	5.828922778	4.530785961	4.603727963
SOD1	7.372199341	6.916409822	9.248154627	8.104267309	9.327614182	8.427971892	9.969306025	10.11018657	9.75639677	10.76015176	10.70932758	10.85786696	9.085688758	11.01366882	11.41843758	10.67163042	10.68213351
ARG1	6.701218214	7.015884364	5.296597008	5.264929937	5.222381229	5.308289729	4.55167843	4.714404989	4.446299364	4.620144516	4.465176988	4.145509245	4.155125924	4.106267188	4.174575988	4.25615994	3.984066348
SSB1	11.25462514	11.0703622	9.904951634	10.07108882	8.601699183	8.606404581	6.096467929	5.563561066	6.32230033	5.697290192	6.83058358	7.970366313	7.971519311	8.476047394	7.474954687	8.714477923	9.133868726
AQY1	-0.148789152	0.20740583	0.651809149	-0.055409318	2.498390478	1.801567295	6.337639076	4.388975266	6.089000425	4.620144516	5.410037879	5.180974122	3.430169273	4.78580153	6.313413532	3.757869241	4.8496519
VIG9	10.44973847	10.22535378	10.26983664	10.34828804	9.841872131	9.852239912	8.890125626	8.508678839	9.461068812	9.000820582	8.874887701	8.536326439	8.051825227	8.357886426	9.103213028	8.99213776	8.607070636
TEF1	10.80973485	10.68393331	9.431440107	9.586336436	8.458657443	8.394746084	7.808514949	7.692336858	8.020575048	7.967516043	8.315384676	8.879179669	8.530112431	9.049196285	8.34937202	8.861975346	9.235359211
MT-I	0.538202946	-1.774274078	4.628409885	3.497446998	5.550504498	4.826459139	7.004388478	6.492438131	7.170987423	6.899495602	6.992069604	6.395069031	6.29753039	5.831450096	5.571044809	5.264043911	5.676758507
ASC1	11.82378532	11.64888142	10.01582863	10.30417218	8.520470868	8.517933814	6.866685699	6.481780336	6.536639367	6.379667557	6.893277925	7.104320443	7.082598825	7.343506633	7.563726784	7.332747799	7.524478907
PEX11	6.670380265	6.623383808	7.550227596	7.4375344	8.32910317	8.368942837	8.632843736	8.654008199	8.793370362	8.7230256	8.683062075	8.50320113	8.409334208	8.342069171	8.730044716	8.285536871	8.097748436
MEU1	8.843784434	8.913788781	7.640781671	7.765708465	7.064444407	6.975867875	6.717925472	6.638732199	6.988050891	6.740997583	6.981287339	7.210747738	7.180622787	7.323646985	7.230742184	7.478778866	7.440536571
TIF5	9.106058674	9.136240511	7.905298188	8.088708471	6.859214859	6.675007236	5.98513751	5.87995629	5.993849494	5.827558447	5.927043585	6.523770077	6.221621314	6.598572946	5.901365773	6.687997173	6.955819526
PRO1	4.665842983	4.598144849	5.152503709	4.957493344	6.944153393	6.880992618	8.009657722	7.817341528	8.071560929	7.973157198	8.164691533	8.201952865	7.850732109	8.464506263	9.454849376	8.268900723	8.440217723
