wtvswt.20min	wtvswt.30min	wtvswt.45min	wtvswt.60min	wtvswt.90min	wtvswt.120min	wtvswt.150min	wtvswt.180min	wtvswt.240min
4.426376511	4.830262715	5.121778856	5.119962891	5.158547549	5.225308128	5.553568494	5.714037265	5.584308474
6	6	6	6	6	6	6	6	6
6	6	6	6	6	6	6	6	6
2.563473409	3.775736708	4.156612049	4.152804142	4.273133471	4.369977112	4.667446455	4.891073863	4.635209673
2.634907703	3.47337161	3.790684081	3.880801794	4.014240184	4.021339853	4.091097696	4.14067181	4.040483267
2.12973979	2.605710392	2.71538341	2.776591768	2.741617503	2.712277803	2.693815453	2.636974019	2.583919043
1.49466762	1.772824379	2.186552535	2.224406964	2.403732827	2.662154836	3.028128307	3.278642344	3.26365358
-1.576332966	-3.21713103	-5.062100353	-5.278179909	-4.843055446	-4.642873736	-4.392826737	-4.288096079	-4.211854464
0.918372921	2.743517988	3.896894925	3.825769139	3.643349875	3.391329212	3.430820313	3.465083597	3.083995356
1.604160537	2.635949521	2.874537608	2.792662242	2.916954314	2.885313583	2.848520179	2.915245502	2.631030156
0.528687312	1.574644472	2.538826349	2.732225548	2.886520053	2.869492239	2.935188896	2.749564491	2.801965924
3.876181445	4.862524483	5.132302637	5.243601015	5.205430995	5.42803193	6	6	5.730633189
-8.88e-16	3.55e-15	-8.88e-16	0	1.245958897	-1.33e-15	2.074996496	2.068883556	2.666940659
-0.783410891	-1.35024124	-1.930115628	-1.958864166	-2.774260969	-2.781328938	-2.432488461	-2.404266544	-2.326940079
-0.941330307	-1.824449314	-2.304213313	-2.306776759	-2.228797907	-2.120501094	-1.921104476	-1.941668766	-1.805520787
-1.364758287	-3.256786594	-5.80311934	-6.102177186	-5.619581806	-4.864148204	-4.430016115	-4.944130992	-3.86042804
2.420866625	2.253185939	2.130576731	2.129772553	1.962429591	2.052586917	2.032795283	2.012910032	1.894595933
-0.453890089	-1.26617371	-1.617474701	-1.967209188	-3.018601097	-2.918615379	-2.687454085	-2.666146986	-2.079578903
1.991386818	2.54459139	2.78339552	3.144069612	3.139078853	3.808128479	3.876942677	3.901404182	3.655612375
2.737186052	4.537887536	4.764572424	4.383510229	4.031902828	3.693411731	3.503557906	3.76929099	2.955685395
0.947883308	1.768398029	2.585167811	2.73882825	3.123564768	3.380108073	3.278490564	2.891383744	3.200784128
1.025516046	1.357626647	1.64245894	1.82143674	1.9715516	2.147143831	2.402380629	2.636442652	2.593489866
-1.24837854	-3.107726415	-5.425309896	-5.725798495	-5.539211486	-4.950872619	-4.849864541	-5.392812428	-4.119491634
2.517157047	3.96788075	4.176903247	3.982480596	3.896378803	3.661254611	3.902054532	4.033021116	3.532793645
2.853657653	4.001829324	4.149707738	4.016507436	3.874274686	3.772524509	3.899903147	3.999517256	3.851621389
-1.62991719	-4.323721356	-6.29297126	-6.385979801	-6.261767436	-6.672263253	-6.484035134	-6.71435177	-5.923697057
-2.190881215	-3.627218562	-4.032565183	-4.661021809	-4.42447554	-4.822110464	-4.773941499	-5.15509707	-4.246771495
-0.96638103	-2.305836948	-3.575796883	-3.522522776	-3.521138837	-3.103901072	-2.887367804	-3.116510948	-2.508751679
-1.282290618	-2.4136473	-2.788883399	-2.517155348	-2.472091877	-2.253317164	-2.09099295	-2.161513891	-1.665621236
1.518080356	2.301207566	2.971618711	3.040330442	2.908277367	2.982702067	2.98021953	2.841873786	2.908481224
-0.770007282	-1.535069167	-2.231884968	-2.4053865	-2.433425084	-2.654339455	-2.074582213	-2.24500438	-2.241406675
2.058217625	2.262543681	2.534573424	2.707987961	2.620730719	3.12565571	3.228750749	3.42433197	3.444420297
2.037961928	3.474739151	4.341647186	4.339836107	4.482099452	4.372559392	4.28502828	4.320241157	4.013786447
-1.577787817	-1.59321581	-2.22550958	-2.325329349	-2.393374302	-2.708233705	-2.752284102	-2.643183325	-2.874484941
2.667761527	4.237453682	5.286505855	5.434694051	5.87571918	5.724153946	5.895736323	6	5.65361456
1.656039763	2.140382424	2.332784133	2.347024087	2.262555937	2.365333385	2.183489764	2.286377645	2.176686544
-1.259471179	-2.980329993	-5.64615144	-5.964671863	-6.019185404	-5.102363256	-5.049508742	-5.612374099	-4.149566042
1.18076363	3.183495708	4.076553136	4.08756029	4.204155755	4.057981501	4.249751093	4.363618614	4.14989557
-2.530807722	-4.036345862	-4.188736436	-4.362617262	-3.874886864	-2.776337823	-2.479500636	-2.701261069	-2.146071235
-0.907277746	-0.395842503	0.726452159	1.235690204	1.65552459	2.174787693	2.065837062	1.762556329	1.957453508
0.489537572	1.433938824	1.674491446	1.956450205	2.327990566	2.567629946	2.618421516	2.758031685	2.395893134
-0.066915171	-0.054280512	0.583853348	1.071761064	1.813929926	2.399313632	2.414720219	2.18541237	2.241690751
