genesymbol.240m	logFC	AveExpr	t	P.Value	adj.P.Val	B
CAGL0A01243g	5.58430847365547	11.909706760598	51.3545528862669	1.64951963603365e-12	8.63523529463616e-09	18.8113603839673
CAGL0G06050g	10.975852377277	7.77283818243811	44.3512338173203	6.219056977798e-12	1.14298515039484e-08	17.7796111600763
CAGL0B02475g	10.2728103271995	11.7221299034515	41.5372583702473	1.12511512090816e-11	1.14298515039484e-08	17.2907492535672
CAGL0A01650g	5.04356537115023	9.3385542249989	41.5341658045894	1.12587280117585e-11	1.14298515039484e-08	17.2901849464822
CAGL0F05071g	3.91475313485127	6.97149328620044	41.3104980024319	1.18220256247561e-11	1.14298515039484e-08	17.2492067812437
CAGL0K07546g	10.2365882426514	10.9560755763681	40.5502755234833	1.39835261346768e-11	1.14298515039484e-08	17.1074543543322
CAGL0G05269g	9.16809533445521	7.24372590531215	40.1534498405933	1.52834690597209e-11	1.14298515039484e-08	17.0319102398143
CAGL0G02563g	7.73689194319227	3.8236169928252	38.6925352643104	2.13636771337836e-11	1.39798562244197e-08	16.7442276476227
CAGL0F08261g	6.46866199134588	7.29769393373498	35.5423200806026	4.59977981131254e-11	2.67553859024679e-08	16.0681886362035
CAGL0H08844g	4.92379589696101	9.27469390869057	34.462762352008	6.07603463750188e-11	3.18080413273223e-08	15.8172133291637
CAGL0G02717g	5.37475267511443	6.90017444643789	34.017975523192	6.83148652997349e-11	3.25116654403738e-08	15.7106989210696
CAGL0K11275g	3.36139685401946	7.18963952034868	33.5524462946829	7.73554903925474e-11	3.37463326837488e-08	15.5972013794868
CAGL0C05027g	6.39827061339668	7.15898143172217	32.8875221838594	9.26573172498486e-11	3.57860411600625e-08	15.431408907763
CAGL0K07524g	3.26365357963365	9.47784639616441	32.7697631589127	9.57028798931949e-11	3.57860411600625e-08	15.4015846869167
CAGL0L04378g	5.88848453100713	8.46054625559588	31.8080771539927	1.25176333823904e-10	4.19353348304234e-08	15.1526425377871
CAGL0H08888g	4.92695255283024	6.88372085226121	31.7247855519001	1.28169122690883e-10	4.19353348304234e-08	15.1306202934492
CAGL0E01881g	4.63520967334945	8.72634330301846	31.024299580958	1.5672704072135e-10	4.55616052145106e-08	14.9424013728904
CAGL0H03311g	5.92856826376826	3.19726310849632	30.8563558206461	1.6457999825301e-10	4.55616052145106e-08	14.8964602595268
CAGL0C02321g	4.04048326689397	8.46425878486022	30.8401186870765	1.65362081962885e-10	4.55616052145106e-08	14.8920015747123
CAGL0L02827g	3.69667317492726	7.41491254051882	30.3511235923428	1.90961188934943e-10	4.85986208993926e-08	14.7563003182434
CAGL0J02552g	6.31750027030663	5.61660188542963	30.2814925599463	1.94951487848566e-10	4.85986208993926e-08	14.7367501319205
CAGL0J04884g	6.13676348567226	6.82683101022246	29.7132065354576	2.31203826922532e-10	5.50160015427026e-08	14.5750301939083
CAGL0B03531g	4.2720305347157	5.05352580556046	29.3398210322526	2.59072683872275e-10	5.89671956552764e-08	14.4666317372975
CAGL0G06952g	2.58391904270451	9.42475057253091	29.0922640070723	2.79597420682001e-10	6.09871873862615e-08	14.393802867825
CAGL0E04708g	2.76385921158374	6.04048131047423	28.9268221451843	2.9431739652961e-10	6.16300628333002e-08	14.344697678544
CAGL0D00990g	4.35103406123566	7.53230521736953	28.7395567364049	3.1202493721633e-10	6.28250210125956e-08	14.2886902933687
CAGL0K04301g	5.64010017946273	5.43813920692201	28.0946705910298	3.82670171634321e-10	7.41954943890989e-08	14.0922925256259
CAGL0F04631g	13.310670290676	5.87567534924741	27.7781814447166	4.23697132817699e-10	7.43717248116454e-08	13.9938580828288
