CAGL0C03597g	ABP1
CAGL0M04323g	ACE2
CAGL0D06424g	ACO1
CAGL0F02431g	ACO2
CAGL0D03586g	ACP1
CAGL0K12694g	ACT1
CAGL0K10340g	ADE2
CAGL0I07843g	ADH1
CAGL0H06853g	ADH6
CAGL0K08800g	ADI1
CAGL0K11418g	ADK1
CAGL0C04983g	ADO1
CAGL0K13024g	AED1
CAGL0K13002g	AED2
CAGL0M11704g	AHP1
CAGL0J01287g	AIP1
CAGL0E05390g	ALA1
CAGL0D06688g	ALD4
CAGL0J03212g	ALD5
CAGL0I04180g	AMT1
CAGL0M02739g	ANC1
CAGL0L01331g	ANP1
CAGL0H04631g	AP1
CAGL0K08756g	AP5
CAGL0K08536g	APE1
CAGL0L00935g	APQ12
CAGL0G07106g	APT1
CAGL0J09944g	AQR1
CAGL0D00154g	AQY1
CAGL0C05115g	ARG1
CAGL0B01507g	ARG8
CAGL0A03102g	ARO10
CAGL0H10142g	ARO3
CAGL0G01254g	ARO8
CAGL0G06028g	ARO9
CAGL0G08316g	ARV1
CAGL0D02090g	ASC1
CAGL0I10648g	ASN2
CAGL0D05918g	ATF2
CAGL0H08558g	ATG11
CAGL0C00627g	ATG14
CAGL0J04686g	ATG17
CAGL0M09581g	ATP1
CAGL0C04455g	ATP16
CAGL0H00506g	ATP2
CAGL0L09713g	ATP7
CAGL0F01419g	AUS1
CAGL0B00770g	AUT4
CAGL0J02508g	AWP1
CAGL0F00110g	AWP10
CAGL0M00110g	AWP11
CAGL0G10219g	AWP12
CAGL0H10626g	AWP13
CAGL0K00110g	AWP2
CAGL0J11891g	AWP3
CAGL0J11990g	AWP4
CAGL0G10175g	AWP6
CAGL0C00209g	AWP7
CAGL0B00110g	AWP8
CAGL0B05093g	AWP9
CAGL0J02288g	BAR1
CAGL0F09207g	BAT1
CAGL0M00176g	BAT2
CAGL0I05236g	BCY1
CAGL0I06512g	BEM2
CAGL0L12056g	BMH1(A)
CAGL0L06270g	BMH1(B)
CAGL0D00286g	BMT1
CAGL0B02882g	BMT2
CAGL0B02926g	BMT3
CAGL0B02948g	BMT4
CAGL0B02970g	BMT5
CAGL0B02904g	BMT6
CAGL0K12980g	BMT7
CAGL0J05126g	BNA3
CAGL0H06765g	BNR1
CAGL0B01287g	BUD5
CAGL0F03069g	CAD1
CAGL0I05214g	CAP2
CAGL0M00880g	CAR2
CAGL0H01815g	CBF1
CAGL0M01364g	CBF3D
CAGL0L11858g	CCA1
CAGL0B02211g	CCH1
CAGL0K08184g	CCP1
CAGL0D03014g	CCT8
CAGL0K05467g	CDC21
CAGL0E01463g	CDC33
CAGL0E04598g	CDC34
CAGL0J09350g	CDC48
CAGL0J09218g	CDC53
CAGL0M01760g	CDR1
CAGL0A00759s	Cen0A
CAGL0B04653s	Cen0B
CAGL0C04345s	Cen0C
