genes	pho80pho4vspho80	del4vsdel4.20min	del4vsdel4.30min	del4vsdel4.45min	del4vsdel4.60min	del4vsdel4.90min	del4vsdel4.120min	del4vsdel4.150min	del4vsdel4.180min	del4vsdel4.240min	no.pi.del4.sec.max
25	CAGL0A00737g	2.1319354374596	2.33570951336092	3.36266759410636	3.95623375070347	3.89428930008025	3.41621144110196	3.22008106198518	3.60201282580134	3.44044684994681	3.17370874781949	3.89428930008025
59	CAGL0A01606g	2.8281621048467	1.75486680959319	2.24574295558	2.28556153793885	2.19212646772679	2.38402178512016	2.75420015053185	2.64819944863858	2.90793117579255	3.08466946861326	2.90793117579255
61	CAGL0A01650g	1.95389365154459	1.75139080974702	2.36575444134721	2.71078550407264	2.75070949907641	3.03296349679699	3.24387601047343	3.37141146843969	3.41954494035573	3.31776278844573	3.37141146843969
300	CAGL0B02475g	9.16327836639324	1.40636117873597	2.57134987102571	2.15069500991519	1.70696191655465	0.958328465998526	0.646124766321766	1.73128408336752	0.936831281072786	1.02063301641684	2.15069500991519
320	CAGL0B02882g	5.17203298062151	2.70903113367812	4.47127687484069	4.78435336111701	4.61948432629191	5.09288111715249	5.20805289914186	5.34387886124393	5.35004292308839	5.09883831675833	5.34387886124393
505	CAGL0C02321g	1.5897446496822	2.79577101788769	3.16023383619656	3.20406548190415	3.15629999969187	3.13719699177482	2.96025155663821	3.02335013305246	2.85773680569525	2.71653561611159	3.16023383619656
619	CAGL0C05027g	2.88649338298842	3.22350243595476	4.99074198568789	5.53798123735481	5.45516429401396	5.49706806894705	5.30576049146473	5.14226649570948	5.09345233928399	4.82206577918605	5.49706806894705
924	CAGL0D06600g	2.39101979504699	1.71054859768104	2.80136903244026	3.31596426480706	3.7214361131037	4.1816885869183	4.34304238354057	4.40344716916894	4.63124521455348	4.57149856984704	4.57149856984704
927	CAGL0D06688g	1.75840876892288	1.05432060257883	2.01428544445633	2.50701059410487	2.39286231394001	2.40752467910777	2.11317987845654	2.10312360381898	1.90478079913722	1.51579132049097	2.40752467910777
992	CAGL0E01705g	5.32870803003158	1.43764123006922	2.38490565392688	2.84420442826077	2.9612111716152	3.12087291349913	2.95115752129175	3.26817234726471	3.1898454020244	2.86540647465325	3.1898454020244
999	CAGL0E01859g	2.26079300246863	2.17293926024856	3.16249073596354	3.60068169302944	3.49750872003385	3.19147804353278	3.17055858545888	3.14382621858171	3.05337735983	2.74314054371087	3.49750872003385
1000	CAGL0E01881g	1.88835122175414	2.14544825443838	3.2857084083632	3.67472600001191	3.83486723352815	4.02033490980481	4.0786915957234	4.26809537360959	4.26566938088238	3.93638653596071	4.26566938088238
1114	CAGL0E04554g	2.55113446360531	2.06034601433663	3.21310712843332	2.70495457721086	1.93252453380345	1.77265674210404	2.01571604474611	0.926800855913166	1.99842885884157	1.54728839560342	2.70495457721086
1161	CAGL0E05632g	2.81120512039957	0.836131695949614	1.8408053991243	2.44178337097139	2.61947361518184	2.99934716037917	3.20392533249923	3.57897376998593	3.60088252071181	3.56521825812987	3.57897376998593
1176	CAGL0E05984g	4.32561761334149	1.16228183787607	3.50189663389901	6.18664518497692	7.25959792794147	9.00174339181248	9.25577391305175	9.45702726155702	9.80216822324732	9.42049492910242	9.45702726155702
1222	CAGL0F00605g	2.39609099390729	2.33423593088332	3.80449342158877	3.98809083004487	3.55648328440098	3.18641265295621	2.80288533218499	2.60838097988542	2.33211868824582	1.71520534473065	3.80449342158877
