genes	del4vsdel4.20min	del4vsdel4.30min	del4vsdel4.45min	del4vsdel4.60min	del4vsdel4.90min	del4vsdel4.120min	del4vsdel4.150min	del4vsdel4.180min	del4vsdel4.240min	sec.max
86	CAGL0A02321g	-1.89975348031061	-1.85309386352989	-1.04159938650467	-0.411308394366381	0.65464187809105	1.26859059556392	1.47483522297637	1.84613496805091	2.01246884983408	1.84613496805091
4218	CAGL0L04378g	2.88234517807009	3.78538772725799	4.36140195275555	4.65695359517279	4.93631479475697	4.94211766692674	4.91997643891118	4.91207481812245	4.6852426182367	4.93631479475697
61	CAGL0A01650g	1.75139080974702	2.36575444134722	2.71078550407264	2.75070949907641	3.03296349679699	3.24387601047343	3.37141146843969	3.41954494035572	3.31776278844573	3.37141146843969
924	CAGL0D06600g	1.71054859768104	2.80136903244027	3.31596426480706	3.7214361131037	4.1816885869183	4.34304238354057	4.40344716916894	4.63124521455348	4.57149856984704	4.57149856984704
862	CAGL0D05082g	2.79558709330303	3.90418521604474	4.05853829361226	3.87465498088618	3.82165627426698	3.74498288733077	3.66602654464776	3.59538021101158	3.3621933304936	3.90418521604474
3996	CAGL0K12254g	0.528827555216669	0.786773184607761	1.27773431572201	1.73297806543321	1.98505938820528	2.11166307694167	2.17240249743261	2.20821275708087	2.12188551706723	2.17240249743261
525	CAGL0C02739g	1.94785813488935	3.33465580859318	3.91955893328019	3.89465828398907	4.03347274330678	3.91272955688284	3.81625707394441	3.68346837788539	3.38953009690159	3.91955893328019
4228	CAGL0L04598g	2.64128083234914	3.86696553988135	4.32963486904198	4.38855071540545	4.46242648148966	4.2830942179	4.39653146864665	4.20362650691956	3.83811389572567	4.39653146864665
2815	CAGL0I07865g	3.4983222903189	4.63438605771405	5.27583992486256	5.35714160365134	5.53408327759565	5.62961660409731	5.68010237004722	5.68278778557066	5.54371670711878	5.68010237004722
4245	CAGL0L05016g	0.0365619682083702	0.729858114478122	1.39604493102035	1.775547575489	1.93385238259276	2.28318653184739	2.24028975155863	2.33597640916727	2.42133076059126	2.33597640916727
598	CAGL0C04543g	1.5505509722545	2.79137776624715	3.50163645302788	3.62440013500685	3.84046550059548	3.94789933611484	3.93828216195401	3.89473819373518	3.54914320829823	3.93828216195401
5127	CAGL0M11660g	0.175371601404328	-0.307806075568327	1.04262732846235	2.37315197571982	3.68003655234985	3.83043928426709	4.02985928417876	4.21118794951252	4.19384657989059	4.19384657989059
1816	CAGL0G05544g	2.46263721315999	4.6164449795794	5.37669737216859	5.43427287520541	5.82135485378162	5.91614333011919	5.99779415136475	6.16624268862158	5.80074955992004	5.99779415136475
1521	CAGL0F07777g	2.6792521223672	4.74021115640799	5.91264707808549	6.13584951848494	6.79635840930227	6.70779182661873	6.77969198706549	6.93413610914507	6.54917648107876	6.79635840930227
4146	CAGL0L02827g	2.02927852071381	3.23774395926651	3.67042876746656	3.72102698592662	3.76821474174702	3.94496352184267	3.94067040840934	3.96131068923065	3.88794849325539	3.94496352184267
1000	CAGL0E01881g	2.14544825443838	3.28570840836321	3.67472600001192	3.83486723352816	4.02033490980482	4.0786915957234	4.2680953736096	4.26566938088238	3.93638653596071	4.26566938088238
2007	CAGL0G09977g	2.16747711980405	3.70135381377459	4.00202272704364	3.73432038747723	3.51720361599722	3.50302918486632	3.53446285939381	3.38212546788315	3.06792034327953	3.73432038747723
4262	CAGL0L05434g	2.66185369538979	3.76170537782705	4.49091580679812	5.11476575893229	5.51105650375076	5.71952177488501	5.90596393380416	5.85501920963023	5.87959241140338	5.87959241140338
3309	CAGL0J08547g	0.911649164935214	1.52424870479446	1.77263217898923	2.18436661276797	2.41841057491601	2.55735416683893	2.61972801394734	2.71978193260299	2.6991267953603	2.6991267953603
5184	CAGL0M12969g	1.80532937807673	2.66595168631438	3.25588994458199	3.38251207636741	3.50051129090518	3.56875207886442	3.36242641357305	3.42052134162254	3.26300246709777	3.50051129090518
505	CAGL0C02321g	2.79577101788769	3.16023383619656	3.20406548190416	3.15629999969187	3.13719699177482	2.96025155663822	3.02335013305247	2.85773680569526	2.7165356161116	3.16023383619656
3849	CAGL0K08844g	1.76424938375489	2.55759680065931	2.82461634524572	2.80449824245246	2.71462480359421	2.71634605591796	2.61716676182029	2.58210863717425	2.44345722817995	2.80449824245246
2112	CAGL0H02387g	3.08089427894934	4.02114214444751	4.50149308906273	4.38369365670183	4.22764783576503	4.09831328550051	4.03814568190791	3.92464353423572	3.67755050183327	4.38369365670183
4064	CAGL0L00957g	2.08809897135178	3.26487554750693	3.46492950453121	3.29481866739251	2.95005299471163	2.55286341992939	2.38661525535617	2.08519084786461	1.73697927533845	3.29481866739251
