,genes,logFC
48,CAGL0A01243g,4.9352582489505
300,CAGL0B02475g,9.16327836639323
3790,CAGL0K07546g,9.21923993021483
1876,CAGL0G06952g,1.73633327971173
4263,CAGL0L05456g,2.16023911514807
1644,CAGL0G01540g,4.42987274852012
5127,CAGL0M11660g,4.61023215474229
2664,CAGL0I04554g,2.18547838994834
3241,CAGL0J07040g,1.35569140957944
61,CAGL0A01650g,1.9538936515446
3849,CAGL0K08844g,2.02611350419922
5172,CAGL0M12705g,1.50478831972018
5071,CAGL0M10351g,1.20078251371678
924,CAGL0D06600g,2.39101979504699
299,CAGL0B02453g,1.72199551969383
3300,CAGL0J08294g,1.68279983537969
1284,CAGL0F02145g,1.18478122399874
1292,CAGL0F02387g,1.33318273331306
4717,CAGL0M02629g,2.08248719608471
1697,CAGL0G02717g,3.70256228682324
1766,CAGL0G04433g,1.99038494448178
865,CAGL0D05170g,8.86306237179747
3996,CAGL0K12254g,1.07963450549553
2504,CAGL0I00748g,1.48474976313804
2400,CAGL0H08844g,2.420506397291
3041,CAGL0J02508g,3.57103563895639
4218,CAGL0L04378g,2.29209144781423
3789,CAGL0K07524g,1.43282833208014
1840,CAGL0G06050g,9.24328738743593
4262,CAGL0L05434g,2.87017042607677
3591,CAGL0K03069g,1.97031580738666
505,CAGL0C02321g,1.58974464968221
1486,CAGL0F06941g,1.61428141840041
4231,CAGL0L04664g,1.67038949126506
1000,CAGL0E01881g,1.88835122175415
3986,CAGL0K12034g,1.00365213821232
3301,CAGL0J08316g,1.74726323577077
996,CAGL0E01793g,1.83086614756661
4728,CAGL0M02871g,1.13280192974102
3906,CAGL0K10164g,3.63005827779942
3426,CAGL0J11176g,1.11330028452922
2815,CAGL0I07865g,2.02478935301281
525,CAGL0C02739g,1.42744666248391
86,CAGL0A02321g,1.14917433636604
59,CAGL0A01606g,2.82816210484669
862,CAGL0D05082g,1.25517601201814
2371,CAGL0H08173g,2.4460017795063
3396,CAGL0J10494g,1.67310230178541
4315,CAGL0L06622g,1.10998473045235
2166,CAGL0H03619g,1.39378335602369
999,CAGL0E01859g,2.26079300246862
4363,CAGL0L07766g,1.9786953091497
1906,CAGL0G07601g,1.05763788744047
1114,CAGL0E04554g,2.55113446360531
1652,CAGL0G01738g,2.42648030097224
927,CAGL0D06688g,1.75840876892286
2061,CAGL0H01177g,1.38129913425215
1536,CAGL0F08107g,1.18886186655323
430,CAGL0C00539g,1.05809413136665
4122,CAGL0L02321g,2.19743919093084
2112,CAGL0H02387g,1.75330933851172
1669,CAGL0G02101g,1.33102305526574
1128,CAGL0E04884g,1.03849162628998
619,CAGL0C05027g,2.88649338298841
877,CAGL0D05434g,1.36025807563997
1521,CAGL0F07777g,2.24571544519095
1393,CAGL0F04807g,1.5808131620165
4228,CAGL0L04598g,1.28760115804493
2099,CAGL0H02101g,2.49248795729535
322,CAGL0B02926g,7.1602660830327
3114,CAGL0J04202g,2.71026102849898
823,CAGL0D04092g,1.63357632577888
320,CAGL0B02882g,5.17203298062151
5194,CAGL0M13189g,1.59773772057849
2007,CAGL0G09977g,1.01166146356799
4868,CAGL0M05951g,1.22572925795
916,CAGL0D06402g,1.4487776229118
4041,CAGL0L00429g,1.06710907442376
4146,CAGL0L02827g,1.27938379349258
3645,CAGL0K04257g,2.63892451419817
324,CAGL0B02970g,1.78988737545327
3105,CAGL0J04004g,2.2334506273217
3923,CAGL0K10604g,1.75910709525924
2168,CAGL0H03663g,1.18583147039877
3606,CAGL0K03421g,2.7393200018212
1222,CAGL0F00605g,2.39609099390733
998,CAGL0E01837g,1.25603713743295
3369,CAGL0J09900g,1.18693432011111
2782,CAGL0I07139g,1.18563967800963
3365,CAGL0J09812g,1.04079201498766
298,CAGL0B02431g,1.28270622607866
1783,CAGL0G04829g,1.1310776347377
1456,CAGL0F06325g,1.05388767947389
2419,CAGL0H09262g,1.52342432229306
615,CAGL0C04939g,1.41737880407382
1703,CAGL0G02849g,1.5679270540209
2974,CAGL0J00847g,1.87599060607054
1397,CAGL0F04895g,1.21983127945875
1176,CAGL0E05984g,4.3256176133415
304,CAGL0B02563g,1.11228491701711
359,CAGL0B03817g,1.08464501117695
1160,CAGL0E05610g,1.28002381289265
319,CAGL0B02860g,1.10002099396662
3330,CAGL0J09020g,1.2211325252779
4698,CAGL0M02167g,1.04434012857335
25,CAGL0A00737g,2.1319354374596
3647,CAGL0K04301g,2.10298762073021
2122,CAGL0H02585g,1.26088527253323
1987,CAGL0G09515g,1.20411119960884
5184,CAGL0M12969g,1.05335667769984
4096,CAGL0L01771g,1.58881866067907
2847,CAGL0I08591g,1.2948248349339
1698,CAGL0G02739g,8.03907967641482
2503,CAGL0I00726g,3.29852156402135
1816,CAGL0G05544g,1.0829918608357
2041,CAGL0H00704g,1.50793816532394
4199,CAGL0L03982g,1.11901598151648
3043,CAGL0J02552g,3.80398439008466
4748,CAGL0M03305g,4.41057077098038
2126,CAGL0H02695g,1.12820293759516
2402,CAGL0H08888g,1.32223500305346
1509,CAGL0F07513g,1.74260074973752
1535,CAGL0F08085g,1.46477429868158
4276,CAGL0L05720g,1.23167619259393
814,CAGL0D03894g,1.18494811478907
3112,CAGL0J04158g,1.11004760606493
