genes	pho80pho4vspho80
3849	CAGL0K08844g	2.02611350419921
3698	CAGL0K05390g	2.27156429577325
414	CAGL0C00110g	6.43872725097419
865	CAGL0D05170g	8.86306237179748
2933	CAGL0I10747g	1.57998918184533
4166	CAGL0L03267g	3.86765201851219
4642	CAGL0M00880g	1.62510802646299
1161	CAGL0E05632g	2.81120512039957
3195	CAGL0J06028g	3.20744170457827
4122	CAGL0L02321g	2.19743919093085
1189	CAGL0E06292g	4.12957065383266
4161	CAGL0L03157g	3.14016229733267
992	CAGL0E01705g	5.32870803003158
4402	CAGL0L08547g	5.0498721910837
647	CAGL0C05643g	4.827417249281
2974	CAGL0J00847g	1.87599060607055
2483	CAGL0I00286g	1.92641498505731
