genes	del4vsdel4.20min	del4vsdel4.30min	del4vsdel4.45min	del4vsdel4.60min	del4vsdel4.90min	del4vsdel4.120min	del4vsdel4.150min	del4vsdel4.180min	del4vsdel4.240min	sec.max
2703	CAGL0I05390g	1.00627555881592	1.41178685562417	2.03033755050954	2.37438643415376	2.6860482450565	2.99422039776969	3.07720587248309	3.11077464056895	2.99589110513037	3.07720587248309
1405	CAGL0F05071g	1.25197147571507	2.46076350744368	3.07454020482155	3.39239050714836	3.57100940750028	3.49987365143607	3.46282020412814	3.41958030127621	3.23161716758632	3.49987365143607
4653	CAGL0M01166g	-1.30419287413115	-1.18630254067164	1.12890801981508	2.69714868811381	3.7767540840284	4.98870645605884	5.09750775349486	5.02868441181829	4.49681679498836	5.02868441181829
1754	CAGL0G04081g	-0.78626919758959	-0.187900641719358	1.34975375459849	1.98793532447035	2.68605868732979	2.91341363765669	2.83423308044729	2.53391023841091	2.25453457463308	2.83423308044729
5176	CAGL0M12793g	0.898711376234643	1.72894777696209	2.66489769664411	3.1135622569532	3.8146124698327	4.22783635239649	4.44462261983188	4.81173093684418	4.95889203395732	4.81173093684418
1823	CAGL0G05698g	1.33644251831479	2.96086289695142	3.56218274639609	3.38600172081401	3.08858455636004	2.99427062673194	2.90451335716851	2.76339546873283	2.60503701912384	3.38600172081401
5210	CAGL0M13541g	0.74928539022448	1.46062304870616	2.0037162625296	1.94758386441304	1.69642959060045	1.60898643707818	1.44176295682308	1.31482897739046	1.2700801093359	1.94758386441304
1072	CAGL0E03630g	-0.257891305216925	0.276557480122414	0.951120394816495	1.92778871429863	2.90596334405465	3.27035385081167	3.27942511200324	3.27245544706563	3.36420352150622	3.27942511200324
621	CAGL0C05071g	0.830474779277591	1.74765045844129	2.22119189998433	2.26057205213046	2.4181862670314	2.47422328753664	2.3806443503581	2.27347775488982	2.07226740968898	2.4181862670314
2866	CAGL0I09086g	-1.06200028110197	-0.0397614041917653	0.866159468482176	1.36996241430079	1.94094020528364	2.23509056939515	2.37048620776085	2.38949692202317	2.15597828892022	2.37048620776085
3954	CAGL0K11275g	1.39889114024149	2.37601737623551	2.82242127565313	2.9451568038599	2.98927788516678	3.00204580419696	2.78697435754512	2.80090358624839	2.50895276953124	2.98927788516678
3342	CAGL0J09284g	0.747848379308154	1.40249401673701	1.91446278313202	2.61951671411848	3.25760120687276	3.30297338008363	3.39705253811791	3.25894430884275	3.2770379160029	3.30297338008363
584	CAGL0C04191g	1.60897466775508	2.85371426019833	3.55007922238588	3.65294480616475	3.77885799122409	3.67732804964544	3.60187787612145	3.52635444432877	3.23630630740596	3.67732804964544
1140	CAGL0E05148g	1.99647825742887	3.40806805456175	3.76834963389868	3.60542316665142	3.47547375497895	3.40747397158375	3.28569175300294	3.17858585001027	2.94456091622541	3.60542316665142
71	CAGL0A01870g	0.423878376248151	1.47388459506348	3.00217939262103	3.20436065698038	3.07905671238721	2.8632440035812	2.7592741034808	2.53455984760988	2.42009614120124	3.07905671238721
643	CAGL0C05555g	1.06409467577349	1.82455054396294	1.99917596220067	2.32549997572253	2.45282342695378	2.47052997463677	2.72416699780941	2.66918890581051	2.60196242095287	2.66918890581051
1034	CAGL0E02651g	2.43615855927709	3.48500632030894	4.01528070838351	4.1171377138312	4.2185304165273	4.06704043604509	4.05237822483816	3.88642790419113	3.78412871119795	4.1171377138312
2340	CAGL0H07469g	0.906704792573495	3.38318124113503	5.54024023484005	6.6668683557142	7.77421732865458	8.24104937643253	8.30755444958636	8.39319867426479	8.60090893893689	8.39319867426479
2726	CAGL0I05896g	1.90526877426339	2.65100871201026	2.84385974670481	2.85121002996344	2.85554238753998	2.90561202878517	2.77910139783825	2.85661638487689	2.65521266776459	2.85661638487689
4974	CAGL0M08228g	0.54682999150215	1.40749087642806	2.07604809941471	2.2821209980501	2.27634825358877	2.49013735318733	2.41774575829481	2.43908972288776	2.55903838068304	2.49013735318733
1543	CAGL0F08261g	2.91287400361382	6.21273808636045	8.0941001341087	8.33283265285285	8.37657162314559	8.40377319737814	8.29027901861993	8.06114183351841	7.47567935529899	8.37657162314559
2134	CAGL0H02893g	2.14919681745043	3.06580093478791	3.19218760326198	3.21306756445449	3.09758419421247	3.00195397130087	2.84352490496261	2.75079468007812	2.61291313036918	3.19218760326198
964	CAGL0E01089g	0.113388171740131	0.525850440676185	0.899562066338707	1.35849803673787	1.52620252157642	1.82125729168496	1.92991299680028	1.92445858516435	1.97292809948358	1.92991299680028
2367	CAGL0H08063g	0.729268432769367	1.57380723984215	2.10870857132527	2.30572439606073	2.68215247804854	2.82592864320014	2.9418583693255	2.95652189370975	2.83229590460735	2.9418583693255
2730	CAGL0I05962g	1.39483130738162	2.09636813997976	2.42332063609529	2.3302666377427	2.40173751315967	2.42060002937874	2.35873014256999	2.36102916342957	2.21118436919493	2.42060002937874
4160	CAGL0L03135g	1.04021259472996	1.96736692310682	2.59654182587713	2.6773568268032	2.67340358022654	2.89473170685541	2.80937093847	2.76458276455186	2.81413661114647	2.81413661114647
5110	CAGL0M11308g	0.627761491333202	1.13474594973689	1.44825001606585	1.580554409163	1.66869695745534	1.78529757911939	1.83794793129398	1.85545283158003	1.89883476039124	1.85545283158003
3928	CAGL0K10736g	0.383628517987141	1.41966106794218	2.55206905066767	2.35407793201887	1.96272121966776	1.63572232529084	1.35954848131718	1.33927948018486	1.24022054534462	2.35407793201887
1121	CAGL0E04708g	1.19862491984404	1.62560261652186	2.09410162047686	2.2834092363084	2.48195373319649	2.48468082354985	2.40162870268316	2.46105853529057	2.27385000957869	2.48195373319649
1546	CAGL0F08327g	0.393485670099058	1.07891307947831	1.79775943821526	2.1386406880643	2.37090462959712	2.71789434930172	2.67785802496725	2.76645732335569	2.8711080150033	2.76645732335569
4357	CAGL0L07634g	0.0796123649475575	0.704808316717002	1.10281540100292	1.39240117982604	1.63487072716344	1.93127983307762	1.8153052860252	1.92399049539646	1.96386923138523	1.93127983307762
4140	CAGL0L02717g	1.45709128395001	2.47920094440573	2.93112051434076	2.94934083337474	2.98819419999515	2.90557280888971	2.76139613170684	2.7760888436745	2.59051530568227	2.94934083337474
1522	CAGL0F07799g	0.821260232191513	1.21101481840699	1.41578669682851	1.64886558815615	1.9761096114867	1.97398118370611	1.9308709537371	2.07878167466253	1.84813019338823	1.9761096114867
3688	CAGL0K05137g	0.927933501978018	1.58815369506186	2.01295305758604	2.04450659179236	2.14812648393937	2.25871263762741	2.35297636174417	2.3891589480088	2.36248787571809	2.36248787571809
1885	CAGL0G07175g	1.61192411738501	2.70919654169353	3.05647299357566	3.30229616430356	3.11150211242946	3.16609859273659	3.25291941152731	3.00034468107475	3.13837461702693	3.25291941152731
3792	CAGL0K07590g	0.959146854991237	1.81164092459202	2.46001529424314	2.63163898748374	2.54675631442415	2.62103014299966	2.58239373989142	2.50792944066099	2.52086824694431	2.62103014299966
1324	CAGL0F03113g	1.01263487754522	1.74891743016116	2.08011605622505	2.15947261661208	2.15557359074	2.25797176532327	2.17579866119376	2.1576799507548	2.00499980830751	2.17579866119376
