CHR,START,END,Consensus,CgPho4.enrichment.No.Pi.with.Pho2,CgPho4.enrichment.No.Pi.no.pho2,Ratio.Cgla4.no.Pi,CgPho4.enrichment.High.Pi.with.Pho2,CgPho4.enrichment.High.Pi.no.pho2,CgPho2.bound,CgPho2.enrichment.No.Pi,CgPho2.enrichment.High.Pi,CgPho4.gene.induced
Chr1,58151,58650,0,6.148,4.51,1.36319290465632,2.057,1.604,1,4.531,2.034,1
Chr1,128960,129844,1,37.76,24.981,1.51154877707057,2.465,2.146,1,7.954,2.353,1
Chr1,161432,161934,1,18.907,17.003,1.11198023878139,2.1,1.782,0,2.051,1.344,1
Chr1,162274,162773,0,8.041,5.805,1.38518518518519,0.968,0.913,1,2.826,1.952,1
Chr2,89413,89912,1,5.332,3.261,1.63508126341613,1.494,1.899,1,2.343,1.442,0
Chr2,235123,236105,1,60.567,62.714,0.965765219887107,1.964,2.054,1,12.373,1.706,1
Chr2,287490,287989,0,13.548,7.261,1.86585869714915,1.727,1.765,1,4.603,3.33,1
Chr2,294000,294500,0,9.302,8.49,1.09564193168433,1.026,1.011,1,4.287,2.838,1
Chr3,149148,149650,1,5.426,4.341,1.24994240958305,1.337,1.068,0,0.923,1.025,0
Chr3,151750,151950,0,3.419,0.898,3.80734966592428,1.56,1.29,1,7.597,5.743,1
Chr3,195405,195907,1,5.18,4.078,1.27023050514958,0.994,0.794,1,1.705,1.133,1
Chr3,235700,236000,0,5.549,6.97,0.796126255380201,0.942,1.32,1,1.24,1.364,1
Chr3,289467,289969,1,11.153,5.487,2.03262256242027,1.526,1.477,1,7.012,4.753,0
Chr3,447080,447582,1,10.821,12.744,0.849105461393597,1.905,1.749,1,2.164,2.09,0
Chr3,463680,464000,0,7.097,2.026,3.50296150049358,2.1,2.158,1,4.454,4.301,1
Chr4,140721,141223,1,9.085,7.112,1.27741844769404,1.097,1.231,1,4.746,2.59,1
Chr4,144155,144654,0,4.181,2.831,1.47686329918757,1.449,1.174,1,3.888,2.699,0
Chr4,427700,427900,1,3.475,2.552,1.36167711598746,2.839,2.49,0,1.744,1.411,1
Chr4,515381,515880,1,5.317,3.275,1.62351145038168,1.104,1.329,1,6.523,2.455,1
Chr4,521294,521793,0,17.083,16.412,1.04088471849866,1.013,0.872,1,9.338,2.326,1
Chr4,622101,622600,0,8.83,2.92,3.02397260273973,1.621,1.996,1,6.404,4.379,1
Chr5,106639,107138,0,6.054,5.2,1.16423076923077,2.548,2.878,1,1.718,1.732,1
Chr5,185511,186010,0,11.809,5.655,2.08824049513705,1.978,1.662,1,5.796,3.117,1
Chr5,341209,341711,1,11.609,10.112,1.14804193037975,1.424,1.378,0,1.61,1.458,0
Chr5,347487,347986,1,3.515,4.881,0.720139315713993,1.271,1.282,0,1.317,1.098,0
Chr5,437184,437683,0,3.941,5.541,0.711243457859592,0.635,0.684,1,3.852,3.996,1
Chr5,474500,475000,0,6.878,3.388,2.03010625737898,2.797,2.487,1,8.525,3.509,1
Chr5,549912,550675,1,40.175,33.893,1.18534800696309,1.85,2.122,1,11.795,3.056,1
Chr5,592307,592806,0,6.687,6.955,0.961466570812365,1.335,1.319,1,2.605,2.054,1
Chr5,631381,631983,1,16.003,12.377,1.29296275349438,0.66,0.831,1,9.597,4.181,1
Chr6,62500,62600,0,3.519,1.084,3.24630996309963,3.961,3.995,1,3.065,3.21,1
Chr6,68171,68787,1,28.052,19.695,1.42432089362782,1.334,1.59,1,5.027,1.321,0
Chr6,70615,71114,0,6.332,3.452,1.8342989571263,0.667,0.521,1,8.408,3.528,1
Chr6,213315,213514,0,2.323,1.594,1.4573400250941,0.953,0.985,0,1.147,1.043,1
