CHR,START,END,GeneID,Log2 fold CgPho4 alone,Log2 fold CgPho2 alone,Log2 fold CO,p+AC0-value CgPho4 alone,p+AC0-value CgPho2 alone,p+AC0-value CO
Chr2,235123,236105,CAGL0B02475g,10.6,1.35,+AC0-0.9,0,0.01221,0.11553
Chr7,580809,581397,CAGL0G06050g,10.57,+AC0-0.03,+AC0-0.06,0,0.9629,0.93644
Chr11,743508,744007,CAGL0K07546g,9.39,0.83,2.39,0,0.28447,0.01119
Chr2,287490,287989,CAGL0B02926g,6.35,0.5,1.66,0.00117,0.79016,0.40956
Chr1,128960,129844,CAGL0A01243g,4.9,+AC0-0.15,0.77,0.00018,0.84926,0.56553
Chr13,1160948,1161916,CAGL0M11660g,4.5,0.97,0.4,0,0.0411,0.51991
Chr9,52890,53389,CAGL0I00726g,2.11,1.62,+AC0-0.58,0.02262,0.07144,0.57222
Chr1,162274,162773,CAGL0A01650g,1.81,+AC0-0.22,0.55,2E+AC0-05,0.44171,0.15157
Chr12,601480,601979,CAGL0L05456g,1.75,+AC0-0.2,0.74,0,0.27776,0.02209
Chr2,294000,294500,CAGL0B02970g,1.66,0.95,+AC0-0.18,4E+AC0-05,0.00317,0.62531
Chr3,235700,236000,CAGL0C02321g,1.55,+AC0-0.29,0.84,0.00294,0.52253,0.16967
Chr7,666000,666200,CAGL0G06952g,1.54,+AC0-0.21,0.56,2E+AC0-05,0.34723,0.11382
Chr1,161432,161934,CAGL0A01606g,1.32,+AC0-0.42,0.88,0.00248,0.31087,0.08471
Chr5,474500,475000,CAGL0E04884g,1.32,1.16,+AC0-0.09,0.01068,0.02063,0.88004
Chr2,235123,236105,CAGL0B02453g,1.23,0.05,0.32,0.00174,0.87267,0.46286
Chr5,549912,550675,CAGL0E05566g,1.19,0.25,+AC0-0.16,0.0008,0.3656,0.66425
Chr9,52890,53389,CAGL0I00748g,1.18,0.67,+AC0-0.18,0.00209,0.04591,0.69556
Chr6,213315,213514,CAGL0F02145g,1.17,+AC0-0.26,0.62,0.00029,0.25235,0.09115
Chr8,852500,852800,CAGL0H08778g,1.17,0.38,0.19,8E+AC0-05,0.09031,0.47666
Chr12,749565,750067,CAGL0L06622g,1.14,+AC0-0.12,0.45,0.00033,0.5946,0.19105
Chr12,749565,750067,CAGL0L06644g,1.12,0.18,0.22,0.00012,0.3852,0.43876
Chr13,1254930,1255130,CAGL0M12705g,1.05,+AC0-0.59,0.85,0.00016,0.00946,0.00953
Chr11,742617,743184,CAGL0K07524g,1.03,0.01,0.18,0.01768,0.97229,0.74432
Chr5,106639,107138,CAGL0E01177g,0.95,0.1,+AC0-0.22,0.02463,0.78263,0.6822
Chr8,108207,108706,CAGL0H01177g,0.93,+AC0-0.13,0.41,0.013,0.68665,0.3832
Chr13,323916,324416,CAGL0M02871g,0.87,+AC0-0.18,0.57,0.00021,0.27466,0.03461
Chr10,395200,395400,CAGL0J04202g,0.86,0.85,2.86,0.16445,0.17132,0.00604
Chr5,437184,437683,CAGL0E04548g,0.69,0.01,0.26,0.20052,0.98391,0.70624
Chr5,549912,550675,CAGL0E05588g,0.66,+AC0-0.23,0.7,0.01051,0.32625,0.03699
Chr6,232730,233229,CAGL0F02387g,0.64,0.04,0.71,0.04356,0.89034,0.11321
Chr3,463680,464000,CAGL0C04939g,0.51,+AC0-0.13,2.31,0.48146,0.86,0.02281
Chr11,739400,740200,CAGL0K07458g,0.42,0.19,0.67,0.07906,0.41209,0.04453
Chr3,151750,151950,CAGL0C01397g,0.41,+AC0-0.76,1.46,0.38542,0.15413,0.03516
Chr10,676776,677275,CAGL0J07040g,0.23,+AC0-0.43,1.29,0.64391,0.38885,0.10035
Chr4,427700,427900,CAGL0D04378g,0.18,+AC0-0.23,1.06,0.37355,0.26031,0.00267
Chr8,70038,70969,CAGL0H00704g,0.11,+AC0-0.88,1.33,0.82171,0.09268,0.08412
Chr11,1166459,1166980,CAGL0K12034g,+AC0-0.09,+AC0-0.15,0.79,0.79754,0.67154,0.1356
